,numinves,idenpa,numentre,reg,ciudad,tamciud,comdist,edad,sexo,codigo,diareal,mesreal,ini,fin,dura,totrevi,totcuot,totrech,totperd,numcasa,codsuper,supervvi,superven,codif,digit,p1st,p2st,p3stgbs,p4stgbs,p5stgbs,p6st,p7stgbs,p8st_a,p8st_b,p8st_c,p9stgbs,p10stgbs,P11STGBS_A,P11STGBS_B,p12st,P13STGBS_A,P13STGBS_B,p13st_c,p13st_d,p13st_e,p13st_f,p13st_g,p13st_h,p13st_i,p14gbs,p15st_a,p15st_b,p15st_c,p15st_d,p15st_e,p15st_f,p15st_g,p15n_h,p15n_i,p15n_j,p15n_k,P16N_A_01,P16N_A_02,P16N_A_03,P16N_A_04,P16N_A_05,P16N_A_06,P16N_A_07,P16N_A_08,P16N_A_09,P16N_A_10,P16N_A_11,P16N_A_12,P16N_A_13,P16N_A_14,P16N_A_15,P16N_A_16,P16N_B_01,P16N_B_02,P16N_B_03,P16N_B_04,P16N_B_05,P16N_B_06,P16N_B_07,P16N_B_08,P16N_B_09,P16N_B_10,P16N_B_11,P16N_B_12,P16N_B_13,P16N_B_14,P16N_B_15,P16N_B_16,p17stgbs,p18st,p19st_a,p19n_b,p19n_c,p19n_d,p20st_a,p22stm_b,p20stm_c,p20stm_d,p20st_e,p20st_f,p20st_g,p21stm,p22st_a,p22st_b,p22st_c,p22st_d,p23n_01,p23n_02,p23n_03,p23n_04,p23n_05,p23n_06,p23n_07,p23n_08,p23n_09,p23n_10,p24st_a,p24st_b,p24st_c,p25n,p26n_a,p26n_b,p27n,p28st,p29st_a,p29st_b,p29st_c,p29st_d,p29n_e,p29st_f,p29st_g,p30st_a,p30st_b,p30st_c,p30st_d,p30st_e,p30n,p31st_a,p31st_b,p31st_c,p31st_d,p31stm_e,p32na,p32n_b,p33n,p34n,p35n_a,p35n_b,p36n_a,p36n_b,p36stm_a,p36stm_b,p36stm_c,p36stm_d,P36STMB_A,P36STMB_B,P36STMB_C,P36STMB_D,p37n_a,p37n_b,p37n_c,p37n_d,p38n,p39n_a,p39st_b,p39n_c,p39n_d,p39n_e,p39n_f,p39n_g,p39n_h,p40n,p41n,p42n,p43n,p44n,p45n,p46stgbs,p47st_a,p47st_b,p47st_c,p47st_d,p47st_e,p47st_f,p47st_g,p47st_h,p47st_i,p47st_j,p47st_k,p47st_l,p47st_m,p48st_1,p48st_2,p48st_3,p49stgbs,P50STGBS_A,P51STGBS_B,p52st,p53n,p54st_a,p54st_b,p54st_c,p54st_d,p55st_a,p55st_b,p55st_c,p55st_d,p55st_e,p55st_f,p56n,p57st,p58st,p59st_a,p59st_b,p59n_c,p59st_d,p59n_e,p59n_f,p60st,p60n_b,p60n_c,p61st,p62n_a,p62st_b,p62st_c,p62st_d,p63st_01,p63st_02,p63st_03,p63st_04,p63st_05,p63st_06,p63st_07,p63st_08,p63st_09,p64st,p65st,p66npn,p67npn_a,P67NPN_B_01,P67NPN_B_02,P67NPN_B_03,P67NPN_B_04,P67NPN_B_05,P67NPN_B_06,p68st,p69st,p70st,P71STM_01,P71STM_02,P71STM_03,P71STM_04,P71STM_05,P71STM_06,P71STM_07,P71STM_08,P71STM_09,P71STM_10,P71STM_11,p72npn,p73npn_1,p73npn_2,p73npn_3,p73npn_4,p73npn_5,p74npn_1,p74npn_2,p74npn_3,p74npn_4,p74npn_5,P75NPN_01,P75NPN_02,P75NPN_03,P75NPN_04,P75NPN_05,P75NPN_06,P75NPN_07,P75NPN_08,P75NPN_09,P75NPN_10,P75NPN_11,P75NPN_12,P75NPN_13,P75NPN_14,P75NPN_15,P75NPN_16,p76n_1,p76st_2,p76n_3,p76n_4,p76st_5,p76st_6,p76st_7,p76n_8,p76n_9,p76n_10,p76n_11,p76n_12,p76n_13,p77n,p78n,p79n,p80n,p81n_01,p81n_02,p81n_03,p81n_04,p81n_05,s1,s2,s3,s4,s5npn,s6npn_01,s6npn_02,s6npn_03,s6npn_04,s6npn_05,s6npn_06,s6npn_07,s6npn_08,s6npn_09,s7npn,s8npn_a,s8npn_b,s9npn,s10,s11_a,s12,s13,s14,s15,s16,s17,s18mn_a,S18N_B_01,S18N_B_02,S18N_B_03,S18N_B_04,S18N_B_05,S18N_B_06,S18N_B_07,S18N_B_08,S18N_B_09,S18N_B_10,S18N_B_11,S18N_B_12,S18N_B_13,S18N_B_14,S18N_B_15,S18N_B_16,S18N_B_17,S18N_B_18,S18N_B_19,S18N_B_20,S18N_B_21,s19m_01,s19m_02,s19m_03,s19m_04,s19m_05,s19m_06,s19m_07,s19m_08,s19m_09,s19m_10,s20_a,s20_b,s21,s22,s22_a,s22_b,s22_c,s23_a,s23_b,s24_a,s24_b,s25,s26_a,s26_b,s26_c,s26_d,s26_e,s26_f,s26_g,s26_h,s26_i,s26_j,s26_k,s26_l,m_nc,n_ni,s27,s28_a,s28_b,s29,s30,reeduc_1,reeduc_2,reedad,perpart,fampart,wt,bard_results,bard_distance,bard_num_preg,bard_distance_norm,gpt_results,gpt_distance,gpt_num_preg,gpt_distance_norm,cohere_results,cohere_distance,cohere_num_preg,cohere_distance_norm
0,2020,32,3200001,32002,32301917,-4,2,63,2,-4,4,5,2239,2352,72,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,96,5,5,5,2,4,3,4,2,3,4,4,1,2,4,4,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,4,4,3,3,2,2,3,4,4,3,4,1,4,2,3,4,0,0,0,0,0,0,0,0,1,0,2,1,2,3,-5,2,1,-2,2,2,2,2,2,4,2,2,2,2,2,3,4,2,1,2,2,-2,1,2,1,4,1,2,4,2,1,2,2,2,2,4,4,4,-5,-5,-5,-5,3,2,2,2,2,2,2,2,2,1,4,2,3,1,4,4,4,3,3,4,4,4,4,3,3,4,3,3,4,1,3,6,1,-2,-3,1,2,4,4,4,4,1,3,3,3,3,3,2,-2,24,5,6,4,6,6,6,2,1,4,3,2,2,4,4,0,0,0,1,0,0,0,0,0,4,1,3,1,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,5,6,7,8,80,80,8,7,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,7,2,2,-1,1,1,1,0,0,4,2,1,2,3,0,0,1,0,0,0,0,0,0,1,2,8,2,2,-2,-1,2,2,-1,6,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1,1,1,1,19570921,21,9,1957,2,2,6,-3,-3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,-1,3,-3,5,-4,2,1,4,4,99,2.2,"(77.0, 59, 1.305084745762712)",77.0,59,1.305084745762712,"(36, 25, 1.44)",36,25,1.44,"(39, 25, 1.56)",39,25,1.56
1,2020,32,3200002,32001,32001001,-4,1,24,1,-4,4,5,2222,8,106,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,1,96,5,5,5,3,3,3,3,2,1,4,3,1,1,1,3,2,4,2,4,2,4,3,2,2,4,2,2,2,1,1,3,4,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,5,4,4,4,4,1,4,3,4,3,2,3,1,3,3,3,4,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,-5,1,-5,2,1,1,4,4,1,4,4,4,1,1,4,1,1,4,1,1,1,2,1,4,1,2,2,2,1,-2,-2,-2,4,4,4,4,2,4,1,3,2,1,3,1,4,1,5,1,3,1,3,1,3,3,3,3,3,2,4,4,1,3,3,1,4,3,7,8,1,32044,1,1,1,3,3,3,4,1,2,3,2,2,2,2,1,96,5,5,5,10,10,5,2,1,1,-1,2,1,3,1,1,0,0,1,1,1,1,1,0,2,1,2,2,0,0,1,1,0,0,1,1,4,1,1,1,0,0,1,0,1,0,0,0,10,30,20,10,20,20,30,20,20,20,10,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,96,9,1,10,0,6,0,0,96,8,7,-1,10,6,1,1,3,1,1,1,0,0,4,1,1,2,10,0,0,1,1,1,1,1,0,0,1,8,10,1,1,3,4,1,1,24,14,8,1,-2,-2,1,1,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,1,1,1,0,0,0,0,1,1,1,19960925,25,9,1996,1,1,1,-3,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,-4,6,3,1,1,30,0.62,"(77.0, 59, 1.305084745762712)",77.0,59,1.305084745762712,"(24, 25, 0.96)",24,25,0.96,"(31, 25, 1.24)",31,25,1.24
2,2020,32,3200003,32002,32301955,-4,280,20,1,-4,4,5,2222,2312,50,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,9,5,2,2,3,4,4,8,2,2,4,4,2,1,2,1,2,1,2,2,2,1,3,3,3,3,2,2,1,2,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,3,2,3,4,1,2,3,2,2,1,2,1,2,1,2,3,0,0,0,0,0,1,0,0,0,0,2,2,2,2,3,2,-5,-1,2,2,2,1,1,1,1,2,1,4,1,2,3,2,1,-2,-2,-2,1,1,4,1,1,1,1,1,2,2,2,1,-2,-2,-2,1,1,1,1,1,3,-5,3,4,2,-5,-5,1,1,3,3,2,4,3,1,2,2,1,2,1,4,4,1,2,1,3,2,1,2,7,-2,-2,2,-1,-3,1,1,3,2,2,4,2,2,3,3,3,2,1,1,96,7,7,1,6,9,8,1,-5,3,2,1,2,2,-2,1,1,0,0,0,1,0,1,0,2,2,1,-5,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,1,-2,-2,-2,-2,100,100,100,100,100,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,-1,10,0,-1,-1,5,-1,-1,3,-1,-1,-1,8,1,1,-1,1,1,1,0,0,5,2,5,3,3,1,1,1,1,1,1,0,0,0,2,11,8,1,1,1,-1,1,2,-6,7,7,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,0,1,0,0,0,1,1,1,20010408,8,4,2001,2,1,7,-3,-3,1,1,2,1,2,1,1,2,1,1,1,2,1,2,-3,1,-3,4,-4,2,2,1,4,99,2.93,"(58.0, 59, 0.9830508474576272)",58.0,59,0.9830508474576272,"(26, 25, 1.04)",26,25,1.04,"(22, 25, 0.88)",22,25,0.88
3,2020,32,3200004,32002,32301932,-4,230,54,2,-4,5,5,0,59,59,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,9,5,5,5,3,3,-2,5,2,2,4,4,1,1,2,2,3,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,2,4,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,10,4,4,4,4,3,1,3,2,1,4,2,1,3,2,4,3,1,0,0,0,0,0,0,1,0,0,2,2,2,4,2,2,2,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,8,5,2,1,3,3,1,1,1,1,3,3,3,3,4,4,4,4,2,3,1,3,3,2,3,3,3,1,3,1,2,1,2,4,4,1,2,2,4,1,2,2,2,2,2,3,3,2,4,5,1,94,2,2,2,4,4,4,4,1,3,3,3,3,3,5,2,10,1,1,1,1,1,1,2,1,4,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,1,4,2,4,1,0,0,0,0,0,0,2,1,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,3,4,6,100,60,10,10,10,10,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,96,96,7,1,9,7,10,0,96,0,2,96,96,1,2,2,4,1,1,1,0,0,4,3,1,2,2,0,0,1,1,1,1,1,0,0,2,11,11,1,1,3,-1,2,2,12,8,8,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,1,0,0,0,0,1,1,1,19670320,20,3,1967,2,2,5,8,-3,2,1,2,1,1,1,2,2,2,1,1,1,1,1,13,4,3,-3,-4,3,3,3,3,99,1.92,"(61.0, 59, 1.0338983050847457)",61.0,59,1.0338983050847457,"(25, 25, 1.0)",25,25,1.0,"(32, 25, 1.28)",32,25,1.28
4,2020,32,3200005,32211,32211004,-4,926,38,1,-4,5,5,1325,1450,84,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,6,4,5,2,2,6,6,6,2,1,3,3,-2,2,3,1,2,2,2,2,2,2,2,1,2,2,1,1,2,-1,3,3,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,97,-2,2,2,-2,3,3,2,2,2,2,2,2,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,2,2,3,2,2,2,-1,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,-2,2,2,2,-5,1,-5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,5,9,10,1,32001,2,2,2,3,2,3,3,-2,2,3,3,3,3,1,2,-2,5,5,2,5,7,5,1,1,5,1,2,2,3,2,0,0,0,1,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,2,3,4,5,6,4,4,4,4,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,96,96,5,3,0,96,4,96,96,5,96,96,96,4,1,1,1,0,1,0,0,0,3,1,3,2,4,0,0,1,0,1,1,1,0,0,2,2,1,2,2,2,-2,2,1,-6,8,8,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,0,0,0,0,0,1,1,1,19820712,12,7,1982,2,1,1,-3,4,1,1,1,1,1,1,2,1,2,1,1,2,1,1,-3,-3,-3,-3,-4,3,3,2,2,30,2.73,"(134.0, 59, 2.2711864406779663)",134.0,59,2.2711864406779663,"(14, 25, 0.56)",14,25,0.56,"(37, 25, 1.48)",37,25,1.48
5,2020,32,3200006,32002,32301026,-4,2,62,2,-4,5,5,2113,2202,49,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,45,3,3,2,2,5,3,5,2,1,2,4,-2,2,2,1,3,3,3,4,2,2,2,1,2,3,3,2,2,3,2,2,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,97,3,2,3,4,1,3,2,3,4,2,2,-2,3,2,3,3,0,0,0,0,0,0,1,1,0,0,2,2,2,3,2,2,2,1,1,2,3,3,3,2,2,2,2,2,2,3,4,-1,-2,-2,-2,-2,1,1,4,3,1,1,4,4,1,2,2,1,4,-2,-2,-2,2,2,3,3,2,2,2,3,2,2,3,2,3,2,4,1,2,2,1,4,1,3,-2,-2,4,2,2,2,1,3,3,3,3,1,4,6,2,-1,-3,1,2,3,2,4,4,2,3,3,-2,3,3,2,2,10,8,8,5,8,8,8,1,2,4,-1,2,2,3,2,0,0,0,1,0,1,0,0,0,2,3,4,-5,0,0,0,0,0,0,-1,1,-1,0,0,1,0,0,0,1,0,1,0,0,5,1,4,5,20,70,50,30,20,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,96,96,7,96,3,96,8,96,96,5,96,96,96,8,2,2,2,1,1,1,0,0,3,2,5,3,6,0,1,1,1,1,0,0,0,0,2,6,6,2,1,2,4,2,2,18,8,6,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,0,1,0,0,0,0,0,1,1,1,19581004,4,10,1958,2,2,5,8,-3,1,1,1,1,1,1,2,2,1,1,1,1,1,2,17,3,-3,8,-4,3,2,4,4,99,2.2,"(170.0, 59, 2.8813559322033897)",170.0,59,2.8813559322033897,"(32, 25, 1.28)",32,25,1.28,"(31, 25, 1.24)",31,25,1.24
6,2020,32,3200007,32211,32301000,-4,9,27,2,-4,15,5,1804,1945,100,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,3,9,5,4,4,3,2,4,2,2,1,3,4,1,2,3,2,4,4,4,4,4,3,3,2,2,3,2,2,2,2,3,3,2,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,97,4,2,3,4,3,3,3,4,4,4,2,2,3,2,3,4,0,0,0,0,0,0,0,0,1,0,2,2,2,3,1,1,2,1,2,2,3,2,3,2,3,2,2,2,2,3,4,-1,-2,-2,-2,-2,-5,-5,4,5,-5,-5,4,4,1,2,1,1,2,-2,2,2,2,2,2,2,1,2,3,3,2,3,3,-5,3,1,4,1,3,1,3,3,4,1,2,3,4,3,3,3,2,3,4,2,3,6,7,-2,2,95,-3,1,1,3,-2,4,4,2,-2,3,3,3,3,2,-2,2,6,7,8,8,10,10,2,1,5,2,2,3,4,-2,1,0,1,1,1,1,0,1,0,2,1,2,2,-2,-2,-2,-2,-2,1,-1,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,20,10,15,25,30,15,20,20,20,25,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,96,96,4,2,0,96,9,96,96,3,96,96,96,7,1,1,3,1,1,1,0,0,4,2,1,2,5,0,0,1,0,1,1,1,0,0,2,6,7,1,14,-2,-2,1,2,-6,15,11,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,0,0,0,1,0,0,0,0,0,1,1,1,19931122,22,11,1993,2,1,1,-3,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,15,2,-3,8,-4,7,4,2,4,99,0.52,"(151.0, 59, 2.559322033898305)",151.0,59,2.559322033898305,"(26, 25, 1.04)",26,25,1.04,"(46, 25, 1.84)",46,25,1.84
7,2020,32,3200008,32304,32304000,-4,8,29,1,-4,16,5,1750,1824,33,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,4,2,9,4,4,4,4,4,3,-2,2,2,3,3,1,4,4,4,3,3,3,4,3,3,3,2,2,3,3,4,3,3,4,3,2,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,2,5,3,2,2,4,3,2,3,2,4,4,1,2,3,1,3,3,0,0,0,0,0,0,0,1,0,0,1,1,1,2,2,2,2,1,2,2,2,1,3,2,3,3,4,3,2,4,4,2,2,2,3,2,3,2,3,8,1,1,3,2,1,2,2,1,3,3,3,2,2,2,3,3,3,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,1,3,3,3,4,3,3,1,2,4,3,2,3,1,6,7,2,95,-3,1,1,2,3,4,4,1,3,3,3,3,3,1,2,10,-2,4,2,1,6,3,1,1,5,2,3,2,3,2,0,0,0,1,1,0,0,0,0,2,1,2,2,0,0,1,0,0,0,1,2,4,0,0,1,0,1,0,1,0,1,0,0,1,1,2,7,10,80,10,10,20,20,40,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,3,96,6,0,0,2,2,3,1,3,-1,-1,1,8,2,1,3,1,1,1,0,0,4,1,2,2,9,0,0,1,0,1,1,1,0,0,2,2,8,2,-2,-3,6,2,1,17,12,3,1,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,1,1,1,1,0,0,0,1,1,1,19920315,15,3,1992,2,2,3,-3,8,2,2,1,1,2,1,1,2,1,1,1,1,1,1,-3,-3,-3,-3,-4,4,2,2,4,99,1.16,"(45.0, 59, 0.7627118644067796)",45.0,59,0.7627118644067796,"(23, 25, 0.92)",23,25,0.92,"(40, 25, 1.6)",40,25,1.6
8,2020,32,3200009,32002,32301906,-4,3,64,1,-4,21,4,400,543,102,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,35,5,5,5,4,7,5,7,1,2,3,4,1,2,2,4,3,4,4,4,2,4,3,2,2,3,2,4,4,4,2,4,1,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,5,3,3,2,3,2,3,2,4,2,4,1,2,2,2,2,3,0,0,0,0,0,0,0,1,0,0,1,1,1,4,1,1,1,1,1,2,3,1,4,2,2,4,3,3,3,3,4,3,2,2,3,1,3,2,1,1,2,2,4,4,1,2,2,1,4,4,4,4,2,3,4,2,3,2,2,3,3,2,3,1,1,1,4,1,3,1,1,1,1,1,2,3,3,3,3,1,1,3,2,2,2,1,3,5,2,96,-3,2,2,2,2,3,4,1,1,3,3,3,3,1,2,2,10,10,5,10,10,10,2,2,1,1,2,2,4,2,0,1,1,1,0,0,1,1,0,4,2,3,2,-2,-2,-2,-2,-2,1,1,1,4,1,1,1,1,1,0,1,0,0,0,0,7,5,10,15,20,50,10,10,25,25,30,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,96,96,0,0,0,-1,1,-1,-1,0,4,5,-1,7,1,1,-1,1,1,1,0,0,3,1,4,1,10,0,1,1,0,1,1,1,0,0,2,3,7,2,1,3,6,2,1,25,15,15,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,1,0,0,0,0,0,1,1,1,19570214,14,2,1957,2,2,2,-3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,-3,-3,-3,-4,7,7,4,4,99,0.52,"(47.0, 59, 0.7966101694915254)",47.0,59,0.7966101694915254,"(16, 25, 0.64)",16,25,0.64,"(25, 25, 1.0)",25,25,1.0
9,2020,32,3200010,32002,32301016,-4,2,72,2,-4,25,4,307,426,78,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,5,5,5,4,4,6,-2,6,1,2,4,4,1,2,2,3,3,4,3,3,3,4,3,2,2,4,2,2,2,2,2,2,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,2,7,3,2,3,3,2,1,3,3,4,2,2,1,2,3,2,3,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,2,-1,2,2,-5,-2,3,-5,3,1,2,-1,1,4,4,2,2,2,2,2,2,2,1,-5,1,2,2,3,1,2,2,2,2,-2,-2,-2,2,2,2,2,3,3,3,2,3,2,3,2,3,1,3,3,4,2,2,2,2,1,3,3,4,1,1,3,1,4,3,2,3,3,6,7,1,32005,1,1,1,2,3,4,4,1,3,3,3,3,3,1,2,97,7,7,4,7,5,6,1,-5,4,-1,2,2,3,2,0,0,0,1,0,1,0,0,0,2,1,1,2,0,0,1,0,0,0,1,1,3,1,1,0,1,1,0,1,0,0,0,0,5,20,20,20,20,20,20,30,30,10,10,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,6,8,1,3,0,6,1,-1,-1,4,-1,-1,6,8,1,2,-1,1,1,1,0,0,3,1,-2,2,-5,0,0,1,0,0,0,0,0,0,2,-5,11,1,1,2,6,1,1,12,8,6,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,0,1,0,1,1,0,0,0,0,1,1,1,19490308,8,3,1949,2,2,5,8,-3,2,1,1,1,1,1,2,1,1,1,1,2,1,2,-3,-3,-3,-3,-4,3,2,4,1,30,2.2,"(68.0, 59, 1.152542372881356)",68.0,59,1.152542372881356,"(25, 25, 1.0)",25,25,1.0,"(25, 25, 1.0)",25,25,1.0
