,idnum,uniq_id,pais,year,wave,nationality,estratopri,strata,upm,prov1t,ur1new,q1tb,q2,wt,weight1500,core_a_core_b,a4,covid2at,idio2,idio2cov,fs2,fs2covidn,covid11n,it1,jc13,jc13covid,jc15a,jccov1,jccov2,vic1ext,aoj11,countfair1,countfair2,countfair3,countfair4,wvsi2,wvsi3,chm1bn,chm2bn,cses6n,b0t,b2,b3,b4,b6,b32,b47a,dst1bn,pr3dnr,pr3enr,drk1c,drk1n,drr1,drr1a,drr1b,m1,ing4,anestg,pn4,exc6,exc2,exc7new,mil10a,mil10e,ccch1,ccch3,ccch4,ccch6,ccus1,ccus3,ccus4,ccus6,ctaware,ctspecific1,ctdiffuse1,ctdiffuse2,edr,ocup4a,q10newt,q11n,q12c,q12bn,covidedu1_1,covidedu1_2,covidedu1_3,covidedu1_4,covidedu1_5,covidedu2,etid,gi0n,r3,r4,r6,r7,r15,r18n,r18,r16,r27,psc1n,psc1c1,psc1c2_1,psc1c2_2,psc1c2_3,psc1c2_4,psc1c2_5,psc1c2_6,psc1c2_7,psc1c2_8,psc1c2_9,psc1c2_10,psc1c2_11,psc1c2_12,psc1c2_13,psc1c2_14,psc1c2_15,psc1c2_16,psc1c2_17,psc1c2_18,psc1c2_19,psc1c2_77,psc1c3,psc1t1_1,psc1t1_2,psc1t1_3,psc1t1_4,psc1t1_5,psc1t1_6,psc1t1_77,psc1c4,psc1t2_1,psc1t2_2,psc1t2_3,psc1t2_4,psc1t2_5,psc1t2_6,psc1t2_7,psc1t2_8,psc1t2_9,psc1t2_10,psc1t2_11,psc1t2_12,psc1t2_13,psc1t2_14,psc1t2_15,psc1t2_16,psc1t2_17,psc1t2_18,psc1t2_19,psc1t2_77,psc1t3,psc1t4,psc2n,psc2r1,psc2r2_1,psc2r2_2,psc2r2_3,psc2r2_4,psc2r2_5,psc2r2_6,psc2r2_7,psc2r2_8,psc2r2_9,psc2r2_10,psc2r2_11,psc2r2_12,psc2r2_13,psc2r2_14,psc2r2_15,psc2r2_16,psc2r2_17,psc2r2_18,psc2r2_19,psc2r2_99,psc2r2_77,psc2c1,psc2c2_1,psc2c2_2,psc2c2_3,psc2c2_4,psc2c2_5,psc2c2_6,psc2c2_7,psc2c2_8,psc2c2_9,psc2c2_10,psc2c2_11,psc2c2_12,psc2c2_13,psc2c2_14,psc2c2_15,psc2c2_16,psc2c2_17,psc2c2_18,psc2c2_19,psc2c2_77,psc2f1,psc2f2_1,psc2f2_2,psc2f2_3,psc2f2_4,psc2f2_5,psc2f2_6,psc2f2_7,psc2f2_8,psc2f2_9,psc2f2_10,psc2f2_11,psc2f2_12,psc2f2_13,psc2f2_14,psc2f2_15,psc2f2_16,psc2f2_17,psc2f2_18,psc2f2_19,psc2f2_77,psc2f3,psc2f4_1,psc2f4_2,psc2f4_3,psc2f4_77,psc7n,psc8n,psc9n,psc14,psc12n,psc11n,psc11an,psc15,psc16,psc13n_1,psc13n_2,psc13n_3,psc13n_4,psc13n_5,psc13n_7,psc13n_11,psc13n_12,psc13n_13,psc13n_77,conocim,municipio1t,idiomaq,formatq,sexi,srvyrid,fecha,gpt_results,gpt_distance,gpt_num_preg,gpt_distance_norm,gpt_distance_norm_wt
0,236570.0,21170236570.0,17,2021,2021,17,1702.0,1700002021,171360621,1700021.0,3.0,1,53,1.6860095,0.83992505,Core A,1.0,4.0,3.0,2.0,0.0,,2,4.0,,1.0,2.0,,2.0,,,3.0,1.0,,,2.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,4.0,2.0,2.0,,,5.0,4.0,4.0,4.0,0.0,,,,1.0,1.0,1.0,,,,,,,3.0,4.0,4.0,,1.0,,,,,,,,,,,,1.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1721077.0,1,6,2,,,"(11.0, 10, 1.1)",11.0,10,1.1,1.8546104788780213
2,42281.0,21170042281.0,17,2021,2021,17,1708.0,1700002021,171108421,1700001.0,3.0,1,22,0.82558906,0.41128647,Core A,1.0,2.0,3.0,2.0,0.0,,2,1.0,,2.0,1.0,2.0,,,,,,2.0,3.0,,1.0,2.0,,3.0,2.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,,,3.0,3.0,2.0,2.0,0.0,,,3.0,2.0,2.0,2.0,3.0,2.0,,,,,4.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1701077.0,1,6,2,,,"(3.0, 10, 0.3)",3.0,10,0.3,0.24767671823501586
6,206475.0,21170206475.0,17,2021,2021,17,1708.0,1700002021,171627621,1700001.0,1.0,2,38,0.4572205,0.22777507,Core A,27.0,1.0,1.0,,0.0,,2,2.0,2.0,,2.0,2.0,,,,3.0,1.0,,,2.0,,,2.0,4.0,6.0,7.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,,,3.0,5.0,3.0,3.0,0.0,,,,3.0,1.0,2.0,2.0,2.0,,,,,3.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,6,2,,,"(8.0, 10, 0.8)",8.0,10,0.8,0.3657763957977295
7,382426.0,21170382426.0,17,2021,2021,17,1706.0,1700002021,172519121,1700020.0,3.0,2,31,0.70681846,0.35211813,Core A,1.0,3.0,2.0,,1.0,2.0,1,1.0,2.0,,1.0,1.0,,,,1.0,2.0,,,,1.0,,,3.0,3.0,1.0,1.0,5.0,6.0,5.0,6.0,4.0,1.0,1.0,3.0,1.0,2.0,,,2.0,7.0,2.0,2.0,0.0,,,3.0,4.0,3.0,2.0,4.0,,,,,,3.0,3.0,3.0,4.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1720077.0,1,6,1,,,"(4.0, 11, 0.36363636363636365)",4.0,11,0.36363636363636365,0.2570248950611461
8,272255.0,21170272255.0,17,2021,2021,17,1702.0,1700002021,171481921,1700006.0,3.0,1,40,0.59483683,0.29633185,Core A,27.0,3.0,3.0,1.0,0.0,,2,2.0,,2.0,2.0,2.0,,,,,,2.0,2.0,,1.0,,1.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,1997.0,1.0,4.0,7.0,3.0,3.0,1.0,,,,2.0,1.0,1.0,2.0,3.0,,,,,2.0,,4.0,4.0,3.0,,,,,,,,,,,,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1706077.0,1,6,1,,,"(6.0, 10, 0.6)",6.0,10,0.6,0.35690209865570066
9,165911.0,21170165911.0,17,2021,2021,17,1703.0,1700002021,171311621,1700007.0,4.0,1,37,0.9107948,0.4537337,Core A,1.0,1.0,2.0,,0.0,,2,3.0,,2.0,2.0,,2.0,,,2.0,2.0,,,1.0,,,2.0,3.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,,,3.0,4.0,3.0,3.0,0.0,,,,3.0,3.0,2.0,3.0,2.0,,,,,3.0,2.0,4.0,4.0,2.0,,,,,,,,,,,,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1707013.0,1,6,2,,,"(4.0, 11, 0.36363636363636365)",4.0,11,0.36363636363636365,0.3311981071125377
12,94946.0,21170094946.0,17,2021,2021,17,1703.0,1700002021,172115821,1700009.0,1.0,2,26,0.96792877,0.48219633,Core A,1.0,3.0,2.0,,0.0,,2,3.0,1.0,,1.0,,1.0,,,2.0,2.0,,,2.0,,,1.0,3.0,7.0,7.0,4.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,4.0,2.0,1.0,2011.0,2.0,3.0,7.0,3.0,3.0,0.0,,,,,2.0,1.0,4.0,,,,,,4.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1709011.0,1,6,1,,,"(10.0, 11, 0.9090909090909091)",10.0,11,0.9090909090909091,0.8799352429129861
13,322260.0,21170322260.0,17,2021,2021,17,1706.0,1700002021,171741921,1700015.0,1.0,1,48,0.5352469,0.26664576,Core A,2.0,3.0,2.0,,0.0,,2,2.0,,2.0,2.0,,2.0,,,1.0,2.0,,,2.0,,,2.0,5.0,4.0,7.0,2.0,7.0,7.0,5.0,7.0,2.0,1.0,1.0,3.0,2.0,2.0,,,2.0,7.0,2.0,3.0,0.0,,,3.0,3.0,,,,,1.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1715020.0,1,6,1,,,"(5.0, 10, 0.5)",5.0,10,0.5,0.2676234543323517
16,120288.0,21170120288.0,17,2021,2021,17,1706.0,1700002021,171378121,1700016.0,4.0,1,18,1.2762805,0.63580894,Core A,71.0,3.0,1.0,,0.0,,2,3.0,1.0,,1.0,,2.0,,,,,2.0,1.0,,1.0,,1.0,4.0,6.0,7.0,5.0,7.0,7.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,,,3.0,1.0,2.0,2.0,0.0,,,2.0,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,6,1,,,"(5.0, 10, 0.5)",5.0,10,0.5,0.6381402611732483
17,213691.0,21170213691.0,17,2021,2021,17,1704.0,1700002021,171376021,1700024.0,1.0,1,38,0.78044784,0.38879833,Core A,70.0,3.0,3.0,2.0,0.0,,2,2.0,2.0,,2.0,,2.0,,,3.0,1.0,,,,1.0,,2.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0,2.0,2.0,,,5.0,7.0,4.0,4.0,1.0,,,,2.0,2.0,2.0,2.0,3.0,,,,,2.0,3.0,3.0,5.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1724015.0,1,6,1,,,"(6.0, 12, 0.5)",6.0,12,0.5,0.3902239203453064
